 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,704.554400,32.022454,28.013672,114.349365,0.612581,1.143101,0.874813,0.889279
2,962.148400,40.101247,30.548810,171.723435,0.712862,1.312694,0.761792,0.926273
3,499.871600,26.912565,23.649038,101.623125,0.709497,1.137998,0.878736,0.885327
4,2048.220400,66.816972,39.030132,35.445553,0.668333,1.711933,0.584135,0.904118
5,448.352800,26.105066,21.867806,103.741545,0.661257,1.193767,0.837684,0.869096
6,718.478400,33.153601,27.592632,170.175910,0.717663,1.201538,0.832267,0.897391
7,364.808800,22.998261,20.196701,101.310233,0.676933,1.138714,0.878184,0.870432
8,562.529600,27.741428,25.818243,120.567684,0.715657,1.074489,0.930675,0.904815
9,989.996400,44.483338,28.336510,66.304570,0.559142,1.569824,0.637014,0.893777
10,1378.476000,43.279128,40.553732,143.300762,0.666215,1.067205,0.937027,0.923077
11,1439.741600,56.463961,32.465592,124.030048,0.512168,1.739194,0.574979,0.862385
12,480.378000,25.823925,23.684869,78.267433,0.706672,1.090313,0.917168,0.890323
13,573.668800,28.827390,25.337632,117.484954,0.610033,1.137730,0.878943,0.869198
14,659.997600,31.380747,26.778682,27.440226,0.626081,1.171856,0.853348,0.883504
15,405.188400,24.890471,20.726884,87.828776,0.764652,1.200879,0.832724,0.889908
16,558.352400,27.971253,25.415964,96.092592,0.696573,1.100539,0.908646,0.904171
17,1087.464400,43.478342,31.845803,44.878414,0.681274,1.365277,0.732452,0.910787
18,1065.186000,43.173461,31.413672,94.476568,0.628440,1.374353,0.727615,0.920024
19,548.605600,27.378756,25.512713,65.317240,0.783429,1.073142,0.931843,0.921637
20,651.643200,30.745693,26.985825,31.726836,0.679184,1.139328,0.877711,0.893130
21,634.934400,29.646492,27.268778,7.476073,0.726506,1.087195,0.919798,0.906561
22,121.138800,13.093502,11.779791,173.828826,0.621511,1.111522,0.899667,0.809302
23,552.782800,28.392167,24.789405,163.915338,0.594065,1.145335,0.873107,0.869660
24,403.796000,23.737471,21.658964,50.686231,0.708082,1.095965,0.912438,0.878788
25,267.340800,19.420297,17.527480,115.047075,0.542828,1.107991,0.902534,0.843956
26,107.214800,12.543826,10.882654,103.016310,0.660176,1.152644,0.867571,0.785714
27,83.544000,10.779313,9.868118,14.309458,0.641462,1.092337,0.915468,0.800000
