 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,630.757200,30.720208,26.142565,148.863860,0.759605,1.175103,0.850989,0.900596
2,466.454000,26.735220,22.214430,75.249240,0.869083,1.203507,0.830905,0.933148
3,310.505200,22.022270,17.952169,115.797185,0.804695,1.226719,0.815182,0.906504
4,172.657600,16.887686,13.017443,112.553126,0.857538,1.297312,0.770825,0.892086
5,343.922800,25.077585,17.461654,102.784869,0.742188,1.436152,0.696305,0.894928
6,222.784000,18.946427,14.971551,117.728536,0.915248,1.265495,0.790204,0.916905
7,288.226800,22.469507,16.332435,118.218330,0.712405,1.375760,0.726871,0.898048
8,292.404000,21.453762,17.353616,102.547662,0.818838,1.236270,0.808885,0.917031
9,260.378800,19.901583,16.658201,138.171732,0.843888,1.194702,0.837029,0.892601
10,580.630800,32.660965,22.635035,137.638727,0.728517,1.442939,0.693030,0.914474
11,494.302000,29.584853,21.273212,113.517513,0.831315,1.390709,0.719058,0.926893
12,239.492800,19.158130,15.916569,113.411111,0.838555,1.203660,0.830800,0.902887
13,267.340800,20.431219,16.660234,109.950504,0.757786,1.226346,0.815430,0.882759
14,281.264800,20.643837,17.347427,119.536002,0.880313,1.190023,0.840320,0.920273
15,75.189600,11.032085,8.677813,123.831543,0.751894,1.271298,0.786598,0.850394
16,87.721200,11.622105,9.610144,102.793231,0.857508,1.209358,0.826885,0.893617
17,267.340800,20.264043,16.797678,82.101898,0.821812,1.206360,0.828940,0.890951
18,258.986400,18.912113,17.436007,109.091521,0.874515,1.084658,0.921949,0.902913
19,243.670000,19.513738,15.899070,122.040757,0.861395,1.227351,0.814763,0.906736
20,224.176400,18.054206,15.809627,112.140244,0.803358,1.141975,0.875676,0.879781
21,155.948800,15.441781,12.858632,131.284770,0.904077,1.200888,0.832717,0.903226
22,143.417200,14.236287,12.826691,100.707555,0.856676,1.109895,0.900986,0.887931
23,186.581600,16.076413,14.777119,120.303168,0.881824,1.087926,0.919180,0.908475
24,199.113200,16.582782,15.288074,152.107851,0.941051,1.084687,0.921925,0.913738
25,204.682800,17.639366,14.774354,92.758943,0.894021,1.193918,0.837579,0.927445
26,470.631200,30.729613,19.499961,152.267261,0.738453,1.575881,0.634566,0.913514
27,282.657200,23.608925,15.243825,61.375041,0.718196,1.548753,0.645681,0.875000
28,252.024400,18.068433,17.759560,1.174353,0.920878,1.017392,0.982905,0.932990
29,161.518400,15.335945,13.409778,132.567243,0.815286,1.143639,0.874402,0.909804
30,478.985600,27.760731,21.968564,111.039033,0.770316,1.263657,0.791354,0.924731
31,208.860000,17.178735,15.480116,125.112690,0.926197,1.109729,0.901121,0.909091
32,233.923200,18.309764,16.266746,134.528644,0.808093,1.125595,0.888419,0.905660
33,143.417200,13.857797,13.177018,122.621420,0.922588,1.051664,0.950874,0.891775
34,306.328000,20.880307,18.679271,111.507879,0.784717,1.117833,0.894588,0.897959
35,282.657200,19.385996,18.564449,133.780274,0.896087,1.044254,0.957622,0.914414
36,1106.958000,47.304298,29.794813,160.307730,0.665635,1.587669,0.629854,0.898305
37,161.518400,15.753481,13.054360,117.905680,0.862414,1.206760,0.828665,0.895753
38,226.961200,18.160524,15.912314,127.730677,0.932409,1.141287,0.876203,0.920904
39,217.214400,17.258169,16.025221,128.216327,0.840859,1.076938,0.928559,0.904348
40,168.480400,15.647888,13.708937,73.050841,0.840751,1.141437,0.876089,0.896296
41,119.746400,13.260612,11.497648,108.853945,0.715283,1.153333,0.867053,0.868687
42,488.732400,30.143756,20.643526,57.855662,0.747598,1.460204,0.684836,0.901155
43,769.997200,40.216088,24.378077,43.679683,0.778691,1.649683,0.606177,0.905815
44,199.113200,16.662835,15.214626,122.664691,0.941051,1.095185,0.913088,0.928571
45,426.074400,28.882678,18.782703,128.564051,0.777500,1.537727,0.650310,0.917541
46,488.732400,34.097788,18.249671,124.112792,0.747598,1.868406,0.535216,0.911688
47,435.821200,29.944845,18.530895,152.218480,0.716661,1.615942,0.618834,0.894286
48,167.088000,15.428391,13.789063,115.671227,0.772442,1.118886,0.893746,0.860215
49,399.618800,28.899342,17.606299,123.452615,0.764838,1.641421,0.609228,0.895476
50,583.415600,39.454718,18.827351,69.137780,0.630319,2.095606,0.477189,0.862140
51,133.670400,13.319692,12.777656,129.017467,0.788580,1.042421,0.959306,0.864865
52,368.986000,23.895612,19.660830,136.038889,0.838700,1.215392,0.822780,0.918544
53,176.834800,16.014731,14.059123,128.717660,0.826554,1.139099,0.877887,0.885017
54,247.847200,19.660594,16.050830,128.183285,0.848123,1.224896,0.816396,0.883375
55,256.201600,20.106677,16.223766,103.294581,0.830349,1.239335,0.806884,0.915423
56,232.530800,17.441419,16.974961,140.953492,0.891171,1.027479,0.973256,0.912568
57,179.619600,17.216316,13.283840,123.066014,0.882046,1.296035,0.771584,0.921429
58,247.847200,19.363554,16.297053,128.474504,0.778633,1.188163,0.841635,0.901266
59,573.668800,30.273161,24.127570,39.632610,0.802409,1.254712,0.796995,0.919643
60,187.974000,16.490391,14.513660,99.594389,0.791912,1.136198,0.880128,0.888158
61,249.239600,18.452501,17.197761,107.233879,0.901875,1.072959,0.932002,0.906329
62,190.758800,16.853836,14.411060,114.887722,0.936747,1.169507,0.855061,0.913333
63,289.619200,19.497618,18.912803,2.511114,0.853010,1.030922,0.970006,0.912281
64,239.492800,18.523999,16.461440,106.423651,0.917853,1.125296,0.888655,0.927224
65,193.543600,16.174885,15.235185,64.376223,0.881007,1.061680,0.941904,0.905537
66,101.645200,12.435739,10.406996,130.739083,0.819575,1.194940,0.836862,0.863905
67,615.440800,34.750595,22.549357,74.026126,0.755551,1.541090,0.648891,0.923720
68,182.404400,15.833118,14.668273,115.995936,0.734080,1.079413,0.926430,0.876254
69,501.264000,34.288259,18.613635,171.620834,0.751297,1.842104,0.542857,0.918367
70,226.961200,17.683968,16.341128,108.965194,0.813338,1.082175,0.924065,0.893151
71,146.202000,14.478287,12.857195,137.610936,0.923504,1.126084,0.888033,0.913043
72,136.455200,14.111559,12.311903,147.393618,0.905917,1.146172,0.872469,0.894977
73,118.354000,12.641651,11.920357,147.995709,0.861425,1.060509,0.942943,0.904255
74,157.341200,15.002240,13.353542,103.030194,0.875019,1.123465,0.890103,0.893281
75,357.846800,24.516707,18.584253,26.945601,0.786419,1.319219,0.758024,0.900175
76,484.555200,27.591910,22.359990,116.573548,0.861312,1.233986,0.810382,0.928000
77,176.834800,15.832327,14.221097,128.753913,0.826554,1.113299,0.898232,0.875862
78,396.834000,26.186118,19.295137,103.886579,0.791786,1.357136,0.736846,0.906200
79,240.885200,19.984586,15.347056,123.576112,0.932491,1.302177,0.767945,0.930108
80,153.164000,14.426694,13.517612,167.226859,0.943109,1.067252,0.936986,0.897959
81,153.164000,14.957198,13.038168,165.419214,0.887932,1.147185,0.871699,0.894309
82,256.201600,19.561310,16.676082,162.354583,0.905695,1.173016,0.852503,0.908642
83,154.556400,14.898557,13.208482,123.639078,0.825241,1.127954,0.886561,0.906122
84,256.201600,19.964960,16.338927,109.286150,0.794672,1.221926,0.818380,0.888889
85,82.151600,10.927821,9.571777,130.146674,0.920218,1.141671,0.875909,0.887218
86,154.556400,14.948960,13.163947,32.640753,0.825241,1.135599,0.880593,0.884462
87,182.404400,15.548357,14.936916,157.797449,0.821326,1.040935,0.960675,0.888136
88,107.214800,13.202289,10.339883,119.147396,0.971689,1.276831,0.783189,0.933333
89,112.784400,12.468311,11.517323,122.459810,0.909392,1.082570,0.923728,0.866310
90,94.683200,11.686040,10.316103,127.868921,0.877086,1.132796,0.882772,0.883117
91,419.112400,28.068204,19.011921,66.278664,0.836237,1.476348,0.677347,0.929012
