 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,551.390400,31.357630,22.388556,118.267021,0.777879,1.400610,0.713975,0.909300
2,368.986000,26.221340,17.916993,120.040127,0.559416,1.463490,0.683298,0.835962
3,332.783600,24.910812,17.009210,124.427180,0.682718,1.464548,0.682804,0.858169
4,303.543200,23.231915,16.635874,118.525602,0.616336,1.396495,0.716078,0.866799
5,371.770800,25.786234,18.356821,115.897843,0.683113,1.404722,0.711885,0.885572
6,395.441600,26.180305,19.231704,122.624397,0.709729,1.361310,0.734587,0.888889
7,980.249600,42.210532,29.568274,118.111165,0.773382,1.427562,0.700495,0.927536
8,533.289200,31.314976,21.683073,122.578976,0.669118,1.444213,0.692419,0.882488
9,758.858000,33.094836,29.195129,32.306757,0.719861,1.133574,0.882166,0.913663
10,814.554000,40.183326,25.809769,108.901591,0.673595,1.556904,0.642300,0.919811
11,368.986000,24.090173,19.502042,122.564758,0.576801,1.235264,0.809543,0.854839
12,529.112000,28.201800,23.888061,135.458146,0.673143,1.180581,0.847040,0.896226
13,317.467200,22.325393,18.105473,122.261695,0.743354,1.233074,0.810981,0.870229
14,517.972800,29.422685,22.414795,115.558094,0.695517,1.312646,0.761820,0.887828
15,194.936000,17.111207,14.505127,126.068376,0.907008,1.179666,0.847697,0.909091
16,370.378400,22.982996,20.518666,116.794904,0.813959,1.120102,0.892776,0.898649
17,250.632000,19.080648,16.724515,108.176109,0.763595,1.140879,0.876517,0.882353
18,224.176400,18.750105,15.222862,114.461274,0.635435,1.231707,0.811881,0.845144
19,843.794400,39.516007,27.187777,75.535374,0.691338,1.453448,0.688019,0.901786
20,367.593600,24.118350,19.405751,119.222529,0.625774,1.242845,0.804605,0.884422
21,430.251600,23.850375,22.968752,144.571845,0.615971,1.038384,0.963035,0.877841
22,275.695200,19.914904,17.626298,116.965435,0.675991,1.129840,0.885081,0.891892
23,540.251200,28.983156,23.733413,100.765165,0.735911,1.221196,0.818869,0.914016
24,399.618800,25.627995,19.853697,127.771279,0.729224,1.290842,0.774688,0.903937
25,517.972800,28.694929,22.983275,34.478373,0.773504,1.248513,0.800953,0.914005
26,292.404000,21.521340,17.299125,123.850247,0.711259,1.244071,0.803813,0.869565
27,174.050000,16.172894,13.702393,120.990376,0.700458,1.180297,0.847244,0.841751
28,531.896800,27.024078,25.060320,130.260934,0.714214,1.078361,0.927333,0.897767
29,410.758000,24.060026,21.737022,103.691000,0.642099,1.106869,0.903450,0.879285
30,711.516400,33.621923,26.944646,126.058419,0.818600,1.247815,0.801401,0.935897
31,442.783200,26.095599,21.603991,111.891177,0.776449,1.207906,0.827879,0.905983
32,79.366800,11.745770,8.603348,104.318961,0.589087,1.365256,0.732464,0.786207
33,252.024400,18.742423,17.120916,129.594900,0.611020,1.094709,0.913485,0.868106
34,371.770800,22.140436,21.379583,12.788823,0.773986,1.035588,0.965635,0.897479
35,451.137600,26.661846,21.544128,114.346432,0.669511,1.237546,0.808051,0.887671
36,455.314800,26.263435,22.073457,169.295361,0.856757,1.189820,0.840463,0.919831
37,580.630800,31.231654,23.670924,114.421609,0.773166,1.319410,0.757915,0.914474
38,318.859600,21.963196,18.484771,108.764509,0.810181,1.188178,0.841625,0.885880
39,761.642800,35.709142,27.157016,30.115248,0.743919,1.314914,0.760506,0.915481
40,374.555600,24.399905,19.545117,151.909957,0.755020,1.248389,0.801033,0.890728
41,346.707600,22.216869,19.869669,103.584850,0.802920,1.118130,0.894351,0.898917
42,59.873200,8.943943,8.523413,90.915754,0.598730,1.049338,0.952982,0.747826
43,477.593200,26.161628,23.243605,96.499018,0.730559,1.125541,0.888462,0.902632
44,874.427200,46.959584,23.708798,74.539105,0.667767,1.980682,0.504877,0.907514
45,199.113200,17.253255,14.693969,121.089207,0.818003,1.174173,0.851664,0.905063
46,246.454800,18.307822,17.139996,102.816167,0.767296,1.068135,0.936212,0.869779
47,318.859600,21.029427,19.305550,95.069155,0.833183,1.089294,0.918026,0.906931
