 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,605.694000,30.124509,25.600203,165.930892,0.770572,1.176729,0.849813,0.910042
2,481.770400,27.149903,22.593418,110.083803,0.757939,1.201673,0.832173,0.912929
3,815.946400,37.678253,27.572808,127.047515,0.844193,1.366500,0.731796,0.939103
4,476.200800,27.088158,22.383127,112.339333,0.737721,1.210204,0.826307,0.898817
5,552.782800,27.865038,25.258351,89.629222,0.680223,1.103201,0.906453,0.899207
6,754.680800,38.656084,24.857392,13.759585,0.618325,1.555114,0.643040,0.895128
7,459.492000,24.648437,23.735517,22.462337,0.661873,1.038462,0.962962,0.888291
8,291.011600,19.917501,18.603111,140.701647,0.791665,1.070654,0.934008,0.898925
9,483.162800,26.074944,23.592840,86.841917,0.702043,1.105206,0.904809,0.911958
10,389.872000,22.536876,22.026143,150.736565,0.772312,1.023188,0.977338,0.897436
11,258.986400,19.227696,17.149830,119.712282,0.713015,1.121160,0.891934,0.873239
12,831.262800,43.587088,24.282344,152.205329,0.655837,1.795012,0.557099,0.901132
13,948.224400,47.738470,25.290228,45.941015,0.642177,1.887625,0.529766,0.897233
14,306.328000,21.582217,18.071773,130.739472,0.809868,1.194250,0.837346,0.901639
15,357.846800,24.906100,18.293699,148.468141,0.680076,1.361458,0.734507,0.858097
16,559.744800,28.676694,24.852558,169.695267,0.771638,1.153873,0.866647,0.904387
17,519.365200,26.766795,24.705098,169.566165,0.811874,1.083452,0.922976,0.910867
18,428.859200,25.230152,21.642378,115.084371,0.746971,1.165775,0.857798,0.903226
19,1041.515200,48.920670,27.107117,42.492015,0.669274,1.804717,0.554104,0.889946
20,1177.970400,49.773025,30.133561,66.325712,0.635517,1.651747,0.605420,0.900000
21,856.326000,44.011806,24.773083,168.368967,0.677410,1.776598,0.562874,0.912463
22,944.047200,39.095360,30.745291,119.166453,0.761409,1.271589,0.786418,0.927497
23,104.430000,12.321556,10.791203,127.917972,0.825018,1.141815,0.875799,0.872093
24,753.288400,36.973561,25.940606,130.098337,0.828805,1.425316,0.701599,0.933563
25,348.100000,22.770143,19.464730,113.238254,0.799915,1.169815,0.854836,0.892857
26,87.721200,11.121083,10.043095,121.577105,0.800106,1.107336,0.903068,0.863014
27,495.694400,26.589778,23.736103,129.386678,0.779844,1.120225,0.892678,0.897856
28,633.542000,34.843180,23.150893,137.483279,0.744424,1.505047,0.664431,0.920121
29,1214.172800,47.964145,32.231010,131.756093,0.713537,1.488137,0.671981,0.921289
30,828.478000,45.669619,23.097433,110.526760,0.674372,1.977260,0.505751,0.896084
31,531.896800,28.036615,24.155271,160.775824,0.733248,1.160683,0.861562,0.902007
32,385.694800,23.797983,20.635441,126.567339,0.733000,1.153258,0.867109,0.903752
33,239.492800,17.615694,17.310229,127.223865,0.714201,1.017646,0.982660,0.884319
34,853.541200,40.784512,26.646449,112.739068,0.641995,1.530580,0.653347,0.907476
35,314.682400,21.910379,18.286588,104.118476,0.845950,1.198167,0.834608,0.931959
36,1079.110000,47.174218,29.125348,153.503231,0.644215,1.619696,0.617400,0.913377
37,385.694800,23.619628,20.791262,96.695264,0.635958,1.136036,0.880254,0.853621
38,625.187600,30.022061,26.514288,129.790700,0.738692,1.132297,0.883160,0.918200
39,1970.246000,63.887046,39.266100,66.658565,0.674968,1.627028,0.614618,0.913788
40,513.795600,26.636844,24.559399,149.494080,0.592466,1.084589,0.922009,0.876485
41,433.036400,25.392352,21.713588,130.753769,0.809156,1.169422,0.855123,0.900145
42,247.847200,19.722914,16.000113,127.962428,0.884638,1.232673,0.811245,0.927083
43,1520.500800,74.785554,25.886841,44.793894,0.534642,2.888941,0.346148,0.876404
44,1084.679600,49.873007,27.691472,95.935357,0.674534,1.801024,0.555240,0.923533
45,320.252000,21.044390,19.376067,11.536004,0.776434,1.086102,0.920724,0.893204
46,924.553600,41.248577,28.538638,162.577931,0.747695,1.445359,0.691870,0.925436
47,325.821600,20.898825,19.850348,87.847647,0.746324,1.052819,0.949831,0.898273
48,524.934800,28.461504,23.483219,114.105500,0.544278,1.211993,0.825087,0.854875
49,236.708000,18.574881,16.225460,144.133148,0.810005,1.144798,0.873516,0.909091
50,449.745200,30.631175,18.694463,140.891965,0.657529,1.638516,0.610308,0.883721
51,737.972000,35.789722,26.253770,173.516274,0.816321,1.363222,0.733556,0.926573
52,1127.844000,39.959883,35.936431,9.660285,0.813153,1.111960,0.899313,0.938043
53,937.085200,45.193315,26.400673,8.612250,0.624541,1.711824,0.584172,0.908232
54,292.404000,21.929761,16.976945,160.584660,0.742961,1.291738,0.774151,0.878661
55,246.454800,18.724735,16.758368,162.888861,0.788472,1.117336,0.894986,0.876238
56,551.390400,29.236429,24.012921,83.186465,0.771248,1.217529,0.821336,0.908257
57,1168.223600,44.771795,33.222445,138.021311,0.809489,1.347637,0.742040,0.942697
58,165.695600,15.734322,13.408280,95.766927,0.628723,1.173478,0.852168,0.853047
59,338.353200,22.283467,19.332928,123.966063,0.670257,1.152617,0.867591,0.869410
