 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,492.909600,25.393694,24.714482,71.197697,0.792709,1.027482,0.973253,0.923077
2,605.694000,30.307709,25.445458,167.370185,0.770572,1.191085,0.839570,0.924548
3,696.200000,43.137948,20.548714,46.462130,0.620720,2.099302,0.476349,0.872600
4,321.644400,21.456833,19.086245,146.364200,0.788656,1.124204,0.889518,0.895349
5,473.416000,27.165598,22.188798,90.003023,0.744795,1.224293,0.816798,0.905459
6,570.884000,28.115821,25.852778,26.566065,0.793712,1.087536,0.919510,0.916201
7,839.617200,36.820133,29.033947,121.293909,0.836893,1.268175,0.788535,0.933437
8,394.049200,23.084020,21.734474,121.226320,0.767212,1.062092,0.941538,0.907051
9,554.175200,30.516570,23.121792,6.458362,0.668932,1.319819,0.757680,0.895388
10,555.567600,28.751163,24.603201,104.270906,0.756774,1.168594,0.855729,0.920415
11,434.428800,25.097783,22.039076,169.463109,0.749509,1.138786,0.878128,0.899135
12,363.416400,22.504113,20.561402,133.682796,0.748768,1.094483,0.913673,0.909408
13,247.847200,19.362616,16.297842,124.851791,0.810711,1.188048,0.841717,0.898990
14,516.580400,29.289053,22.456533,8.686839,0.823218,1.304255,0.766721,0.908201
15,1105.565600,42.958373,32.767764,84.367208,0.766072,1.310995,0.762779,0.920580
16,437.213600,24.765392,22.478047,122.162198,0.792350,1.101759,0.907639,0.916788
17,467.846400,27.588108,21.591931,151.910168,0.776500,1.277705,0.782654,0.915531
18,487.340000,32.692718,18.979779,15.379324,0.628715,1.722503,0.580551,0.870647
19,61.265600,10.387931,7.509271,140.430678,0.637264,1.383347,0.722884,0.792793
20,853.541200,34.575812,31.431291,35.437702,0.840393,1.100044,0.909054,0.943803
21,900.882800,37.130525,30.892092,174.703402,0.800012,1.201943,0.831986,0.941091
22,453.922400,25.443348,22.715248,135.212848,0.834063,1.120100,0.892777,0.913165
23,692.022800,32.545920,27.072850,30.677759,0.757334,1.202161,0.831835,0.920370
24,401.011200,29.434925,17.346174,137.252881,0.650865,1.696912,0.589306,0.871407
25,924.553600,47.626684,24.716779,58.330483,0.608552,1.926897,0.518969,0.896086
26,387.087200,23.260452,21.188528,167.052948,0.694735,1.097785,0.910925,0.879747
27,552.782800,28.720008,24.506432,176.169453,0.861831,1.171938,0.853288,0.916859
28,555.567600,27.931505,25.325189,147.135779,0.777090,1.102914,0.906689,0.918297
29,533.289200,27.364264,24.813563,101.032064,0.693674,1.102795,0.906787,0.887601
30,428.859200,24.712328,22.095874,112.350506,0.820802,1.118414,0.894124,0.904552
31,76.582000,10.099212,9.654934,140.801612,0.596420,1.046016,0.956009,0.791367
32,616.833200,31.136198,25.223903,106.537120,0.744565,1.234393,0.810115,0.911523
33,193.543600,15.839418,15.557855,178.422920,0.649956,1.018098,0.982224,0.832335
34,497.086800,27.331455,23.156856,159.451064,0.748911,1.180275,0.847260,0.902655
35,203.290400,16.936640,15.282688,110.089467,0.698382,1.108224,0.902345,0.866469
36,676.706400,30.429850,28.314611,106.703008,0.847054,1.074705,0.930488,0.933718
37,1488.475600,64.443944,29.408287,64.961859,0.576479,2.191353,0.456339,0.904399
38,34.810000,7.775432,5.700194,165.348896,0.714381,1.364065,0.733103,0.806452
39,462.276800,26.610688,22.118523,119.994607,0.810632,1.203095,0.831189,0.902174
40,680.883600,34.779759,24.926220,128.666400,0.756535,1.395308,0.716688,0.917448
41,433.036400,24.702904,22.319606,11.220185,0.822971,1.106780,0.903522,0.904070
42,224.176400,17.725350,16.102940,120.141990,0.803358,1.100752,0.908469,0.875000
43,860.503200,39.666825,27.620731,111.678836,0.787645,1.436125,0.696318,0.934947
44,270.125600,19.686885,17.470239,129.070277,0.765679,1.126881,0.887405,0.891954
