 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,452.530000,25.811239,22.322799,73.752983,0.845581,1.156273,0.864848,0.910364
2,808.984400,39.118397,26.331113,123.433725,0.670278,1.485634,0.673113,0.911373
3,575.061200,35.951748,20.365926,85.516971,0.610181,1.765289,0.566479,0.899782
4,441.390800,26.937320,20.863108,130.938450,0.742329,1.291146,0.774506,0.903134
5,161.518400,15.235805,13.497915,146.084572,0.828682,1.128752,0.885934,0.892308
6,357.846800,22.817162,19.968509,114.386357,0.786419,1.142657,0.875153,0.893913
7,317.467200,21.452484,18.842191,110.929519,0.716073,1.138535,0.878322,0.892368
8,1829.613600,62.309294,37.386660,4.396496,0.601230,1.666618,0.600017,0.898154
9,264.556000,20.538458,16.400606,132.002022,0.680011,1.252299,0.798531,0.863636
10,297.973600,21.197303,17.898115,113.618591,0.744932,1.184332,0.844358,0.880658
11,573.668800,33.540593,21.777128,157.719975,0.640854,1.540175,0.649277,0.896627
12,250.632000,19.561453,16.313439,146.772172,0.812298,1.199100,0.833958,0.886700
13,715.693600,37.046196,24.597651,100.478821,0.600859,1.506087,0.663972,0.901754
14,1101.388400,51.171344,27.404621,149.152756,0.646208,1.867252,0.535546,0.919233
15,879.996800,46.278523,24.210944,138.293042,0.737369,1.911471,0.523157,0.914616
16,398.226400,27.097028,18.711926,93.870697,0.640437,1.448115,0.690553,0.871951
17,705.946800,32.178719,27.932728,90.491353,0.762701,1.152008,0.868050,0.909417
18,224.176400,17.609753,16.208646,7.473053,0.617179,1.086442,0.920436,0.847368
19,162.910800,15.156966,13.685092,27.983502,0.803760,1.107553,0.902891,0.854015
20,355.062000,22.749255,19.872255,144.092436,0.733782,1.144775,0.873534,0.883882
21,395.441600,22.674653,22.205054,129.899554,0.859806,1.021148,0.979290,0.922078
22,1022.021600,49.757832,26.152231,89.131343,0.636630,1.902623,0.525590,0.926768
23,306.328000,21.771530,17.914631,133.065125,0.717271,1.215293,0.822847,0.881764
24,254.809200,19.407099,16.717241,96.633500,0.759877,1.160903,0.861398,0.881928
25,355.062000,23.835083,18.966956,27.726681,0.766226,1.256664,0.795758,0.893170
26,583.415600,30.169357,24.621930,168.244546,0.765936,1.225304,0.816124,0.928018
27,399.618800,23.381756,21.761003,156.550283,0.811415,1.074480,0.930683,0.906793
28,185.189200,15.970605,14.764013,95.117246,0.821228,1.081725,0.924449,0.892617
29,874.427200,39.741740,28.014759,138.111182,0.682396,1.418600,0.704920,0.920821
30,250.632000,19.322041,16.515573,149.425206,0.747420,1.169929,0.854753,0.867470
31,1002.528000,46.817807,27.264376,175.986497,0.691730,1.717179,0.582351,0.922486
32,235.315600,19.881631,15.069846,119.011470,0.540742,1.319299,0.757978,0.820388
33,641.896400,34.104823,23.963997,28.619319,0.744258,1.423169,0.702657,0.908374
34,272.910400,21.654142,16.046829,101.656367,0.634058,1.349434,0.741051,0.867257
35,228.353600,17.256133,16.849014,65.087438,0.854410,1.024163,0.976407,0.898630
36,1038.730400,38.531024,34.324357,32.422193,0.699308,1.122556,0.890824,0.928438
37,1077.717600,53.527536,25.635267,132.773312,0.695382,2.088043,0.478917,0.925284
38,428.859200,27.423548,19.911373,71.946333,0.707130,1.377281,0.726068,0.905882
39,69.620000,9.512610,9.318467,160.936104,0.799049,1.020834,0.979591,0.813008
40,169.872800,15.778753,13.707596,125.477264,0.917824,1.151096,0.868738,0.893773
41,272.910400,20.396895,17.035942,149.866547,0.669162,1.197286,0.835222,0.867257
42,1573.412000,57.808108,34.654834,81.119211,0.566603,1.668111,0.599481,0.904724
43,389.872000,23.159706,21.433798,79.535941,0.805722,1.080523,0.925478,0.896000
44,853.541200,42.023437,25.860864,22.974820,0.670368,1.624982,0.615391,0.904130
45,363.416400,23.699469,19.524325,138.010154,0.751048,1.213843,0.823830,0.886248
46,692.022800,38.170228,23.083718,64.078769,0.721270,1.653556,0.604757,0.905282
47,938.477600,43.996968,27.158844,39.111245,0.688001,1.619987,0.617289,0.913279
48,428.859200,25.384372,21.510892,68.546118,0.711792,1.180071,0.847407,0.881259
49,385.694800,23.476255,20.918237,97.911578,0.797089,1.122287,0.891038,0.890675
50,1271.261200,50.187541,32.251432,87.665127,0.729152,1.556134,0.642618,0.922222
51,412.150400,25.862611,20.290534,91.598133,0.842985,1.274615,0.784551,0.899696
52,323.036800,24.119683,17.052597,129.881609,0.783185,1.414429,0.706999,0.894027
53,1512.146400,49.614299,38.805841,106.211472,0.678491,1.278527,0.782150,0.926621
54,119.746400,13.651247,11.168639,108.101678,0.784627,1.222284,0.818141,0.855721
55,576.453600,30.090723,24.391688,104.128580,0.748014,1.233647,0.810605,0.900979
56,370.378400,24.238354,19.455959,121.070925,0.752044,1.245806,0.802693,0.906303
57,355.062000,23.728831,19.051885,141.022448,0.800871,1.245485,0.802900,0.909091
58,61.265600,9.540927,8.175912,10.204941,0.647894,1.166956,0.856931,0.771930
59,856.326000,38.180193,28.556905,101.986383,0.711439,1.336986,0.747951,0.927602
60,426.074400,25.601383,21.190057,110.891643,0.916620,1.208179,0.827692,0.930091
61,394.049200,26.626017,18.843187,96.168208,0.702415,1.413031,0.707698,0.885759
