 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,1067.970800,37.417461,36.340858,66.935625,0.579242,1.029625,0.971227,0.907156
2,438.606000,26.894930,20.764156,117.781893,0.669169,1.295258,0.772047,0.884831
3,959.363600,40.225167,30.366553,156.815340,0.661948,1.324654,0.754914,0.914399
4,758.858000,35.292021,27.377520,124.124013,0.679861,1.289088,0.775742,0.906822
5,1024.806400,50.545981,25.814595,104.541667,0.577883,1.958039,0.510715,0.898657
6,506.833600,26.486178,24.364429,118.203329,0.690390,1.087084,0.919892,0.889976
7,565.314400,30.710248,23.437800,116.335561,0.733560,1.310287,0.763191,0.915445
8,1307.463600,46.873795,35.514819,17.206415,0.656505,1.319838,0.757669,0.914759
9,94.683200,11.626413,10.369010,99.498608,0.558577,1.121265,0.891849,0.768362
10,527.719600,26.771007,25.098550,90.825608,0.744486,1.066636,0.937527,0.906699
11,396.834000,23.596052,21.413105,136.483571,0.610877,1.101944,0.907487,0.880989
12,1871.385600,64.510360,36.935496,130.593603,0.569510,1.746568,0.572551,0.882469
13,611.263600,30.253528,25.725429,105.443909,0.718246,1.176016,0.850328,0.904222
14,399.618800,24.374102,20.875044,99.877394,0.722160,1.167619,0.856444,0.905363
15,165.695600,15.145372,13.929681,117.616702,0.549144,1.087273,0.919732,0.812287
16,570.884000,29.088403,24.988380,102.913105,0.689100,1.164077,0.859050,0.883621
17,725.440400,33.637633,27.459108,133.835572,0.668632,1.225008,0.816321,0.893654
18,403.796000,24.275425,21.178992,118.849090,0.655385,1.146203,0.872446,0.865672
19,646.073600,31.552534,26.071011,112.751497,0.653368,1.210254,0.826273,0.890595
20,260.378800,19.620439,16.896900,120.158140,0.631274,1.161186,0.861189,0.861751
21,1675.057200,63.696306,33.483089,120.712272,0.638897,1.902343,0.525668,0.923963
22,153.164000,14.535588,13.416345,110.838202,0.715913,1.083424,0.923000,0.846154
23,1177.970400,46.533239,32.231552,75.251635,0.727892,1.443717,0.692657,0.923077
24,597.339600,29.789362,25.531141,175.113381,0.616142,1.166785,0.857056,0.891892
25,164.303200,15.315753,13.658965,127.215761,0.569828,1.121297,0.891825,0.816609
26,494.302000,26.648383,23.617375,130.943894,0.659821,1.128338,0.886259,0.884184
27,232.530800,19.475566,15.201992,112.038005,0.570154,1.281119,0.780567,0.826733
28,374.555600,23.330078,20.441380,123.533149,0.646211,1.141316,0.876181,0.855326
29,417.720000,23.549558,22.584612,119.161801,0.780536,1.042726,0.959025,0.899550
30,433.036400,24.210422,22.773625,104.733746,0.764520,1.063090,0.940654,0.897547
31,722.655600,31.108863,29.577220,87.639708,0.612423,1.051785,0.950765,0.905759
32,396.834000,23.688373,21.329652,123.255428,0.689264,1.110584,0.900427,0.892019
33,268.733200,19.286516,17.740983,123.264419,0.669589,1.087117,0.919865,0.867416
34,193.543600,16.834492,14.638242,112.239214,0.717061,1.150035,0.869539,0.858025
35,639.111600,28.942206,28.116107,68.014621,0.713961,1.029382,0.971457,0.907115
36,313.290000,21.327866,18.702912,84.184992,0.693742,1.140350,0.876924,0.891089
37,650.250800,31.347774,26.410967,131.151554,0.662396,1.186923,0.842515,0.903288
38,27.848000,6.506487,5.449511,131.535475,0.815401,1.193958,0.837550,0.727273
39,545.820800,26.921571,25.814268,101.075330,0.754315,1.042895,0.958869,0.894977
40,754.680800,37.191216,25.836462,28.431512,0.660606,1.439486,0.694693,0.901830
