 ,Area,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,511.010800,26.477090,24.573666,133.687075,0.779635,1.077458,0.928111,0.898409
2,1074.932800,46.206193,29.620422,166.649582,0.651529,1.559944,0.641049,0.909841
3,162.910800,14.814147,14.001783,154.126634,0.672155,1.058019,0.945163,0.835714
4,168.480400,15.462224,13.873548,39.550430,0.632976,1.114511,0.897254,0.834483
5,193.543600,16.232953,15.180686,92.447732,0.700339,1.069316,0.935177,0.876972
6,562.529600,27.905514,25.666430,88.490750,0.666190,1.087238,0.919762,0.894795
7,740.756800,39.198665,24.061045,44.678687,0.791878,1.629134,0.613823,0.915663
8,72.404800,10.580001,8.713483,25.968031,0.685707,1.214210,0.823581,0.764706
9,731.010000,34.491282,26.985104,135.191387,0.719124,1.278160,0.782375,0.920245
10,396.834000,23.796252,21.232954,102.374341,0.707379,1.120723,0.892281,0.885093
11,165.695600,15.782306,13.367514,78.883854,0.549144,1.180646,0.846994,0.793333
12,524.934800,27.540444,24.268590,5.821114,0.709056,1.134818,0.881198,0.901914
13,1093.034000,48.344222,28.787186,33.309818,0.708168,1.679366,0.595463,0.921903
14,487.340000,26.660721,23.273960,169.458653,0.745468,1.145517,0.872968,0.896287
15,240.885200,20.219021,15.169111,169.638431,0.740487,1.332907,0.750240,0.889460
16,726.832800,31.542070,29.339617,58.796689,0.810143,1.075068,0.930174,0.924712
17,186.581600,16.326422,14.550835,154.671139,0.580891,1.122026,0.891245,0.834891
18,349.492400,21.984021,20.241408,162.331670,0.809370,1.086092,0.920733,0.898032
19,971.895200,42.776842,28.928162,155.363399,0.758460,1.478727,0.676258,0.927575
20,480.378000,27.440679,22.289400,163.718016,0.748946,1.231109,0.812276,0.918775
21,147.594400,14.668983,12.810910,12.075163,0.640655,1.145038,0.873333,0.806084
22,675.314000,32.260401,26.653001,106.389016,0.700199,1.210385,0.826183,0.903166
23,362.024000,23.813439,19.356434,92.416497,0.712019,1.230260,0.812837,0.888889
24,749.111200,37.901095,25.165447,8.515790,0.627697,1.506077,0.663977,0.882691
25,265.948400,20.224753,16.742653,157.861000,0.861939,1.207978,0.827830,0.884259
26,246.454800,18.574322,16.894075,88.592485,0.692614,1.099458,0.909539,0.867647
27,427.466800,25.525639,21.322390,69.171473,0.652174,1.197128,0.835332,0.880918
28,247.847200,18.628238,16.940349,91.487019,0.723622,1.099637,0.909391,0.868293
29,1708.474800,71.093065,30.597888,76.363471,0.501873,2.323463,0.430392,0.862869
30,1942.398000,61.836197,39.994988,76.230350,0.698592,1.546099,0.646789,0.938762
31,469.238800,25.240138,23.670766,38.758287,0.667700,1.066300,0.937822,0.891534
32,1204.426000,45.456286,33.736210,41.621395,0.632486,1.347403,0.742168,0.906709
33,267.340800,19.982433,17.034406,128.094538,0.648153,1.173063,0.852469,0.840263
34,1166.831200,53.325432,27.860170,38.644646,0.627152,1.914038,0.522456,0.901075
35,146.202000,14.944291,12.456273,145.933088,0.554756,1.199740,0.833514,0.804598
36,963.540800,40.890059,30.002849,29.180550,0.717043,1.362873,0.733744,0.928236
37,384.302400,25.236178,19.389188,142.089390,0.689737,1.301559,0.768309,0.884615
38,128.100800,13.870571,11.758925,83.748500,0.664901,1.179578,0.847761,0.844037
39,320.252000,21.429458,19.027897,93.936928,0.696322,1.126213,0.887932,0.891473
40,669.744400,31.363311,27.189255,129.907929,0.828839,1.153519,0.866913,0.933075
41,343.922800,21.999307,19.904996,107.193098,0.664869,1.105215,0.904801,0.875887
42,314.682400,21.530080,18.609596,74.946990,0.704377,1.156934,0.864353,0.875969
43,1020.629200,45.052216,28.844429,10.076712,0.594166,1.561904,0.640244,0.903822
44,810.376800,37.591941,27.447473,12.535965,0.767151,1.369596,0.730142,0.912941
45,529.112000,26.168763,25.743912,170.429683,0.677038,1.016503,0.983765,0.902613
46,593.162400,29.374286,25.710849,151.412036,0.754629,1.142486,0.875284,0.911230
47,321.644400,20.604286,19.875979,63.346696,0.733431,1.036643,0.964653,0.880000
48,325.821600,20.733317,20.008807,52.253252,0.789937,1.036210,0.965056,0.898273
49,1721.006400,59.725824,36.688542,147.956131,0.708464,1.627915,0.614283,0.926537
50,984.426800,44.501029,28.165891,15.941971,0.644180,1.579962,0.632927,0.914618
51,863.288000,44.875079,24.494050,97.674816,0.587120,1.832081,0.545827,0.903132
52,208.860000,17.421373,15.264516,141.086526,0.547625,1.141299,0.876195,0.837989
53,526.327200,28.528809,23.489961,138.724853,0.665759,1.214511,0.823377,0.900000
54,444.175600,25.526340,22.155230,145.290034,0.747013,1.152159,0.867936,0.910128
55,490.124800,25.553395,24.421266,73.232354,0.764142,1.046358,0.955696,0.910737
56,480.378000,26.468600,23.107995,124.935306,0.826485,1.145430,0.873034,0.926174
57,1030.376000,41.328819,31.743358,83.405177,0.758687,1.301967,0.768068,0.929648
58,345.315200,21.943814,20.036123,173.200878,0.764658,1.095213,0.913065,0.898551
59,458.099600,26.476448,22.029788,117.980392,0.685866,1.201848,0.832052,0.884409
60,565.314400,29.769625,24.178358,121.279373,0.628125,1.231251,0.812182,0.880694
61,296.581200,19.983848,18.896206,97.178478,0.694449,1.057559,0.945574,0.867617
