wl(nm)	eps1	              eps2
200	0.192392594229848	3.33984932947815
201	0.178939768399494	3.36054245496969
202	0.164880293381386	3.38047677899808
203	0.145638288772877	3.39452187161648
204	0.117148299898457	3.39821915758731
205	0.0806143108575183	3.39404603113471
206	0.0403489918835356	3.38857173630083
207	7.05192494625738E-4	3.38841840365011
208	-0.0342907307314267	3.39959238668283
209	-0.0639830086853978	3.42174299346398
210	-0.0897043380083672	3.45076921635281
211	-0.112813115951878	3.48252157546149
212	-0.134667557743292	3.51285149049598
213	-0.15638433252228	3.53880414209386
214	-0.178362388084307	3.56097180912432
215	-0.200867976597158	3.58060257431424
216	-0.22416735022862	3.5989445203905
217	-0.248477132455831	3.6172133844894
218	-0.273271354495867	3.63614091787333
219	-0.297452398573528	3.65608629852056
220	-0.319907942116383	3.67739912053066
221	-0.339525662552002	3.7004289780032
222	-0.355315779173882	3.7254547854576
223	-0.368122100676764	3.75169788147319
224	-0.380199936507341	3.77756548057639
225	-0.39384090481332	3.80144385519581
226	-0.41133662374241	3.82171927776006
227	-0.434552186285127	3.83712049320968
228	-0.462200397942133	3.84890733239385
229	-0.491581199630895	3.8594740663576
230	-0.519987867813301	3.87122031727894
231	-0.544713678951238	3.88654570733587
232	-0.563331991771522	3.90759882284078
233	-0.576307626517318	3.93393665243783
234	-0.585811210578831	3.9635872812047
235	-0.594035418638256	3.99455903337833
236	-0.603172925377789	4.02486023319566
237	-0.615416405479625	4.05249920489365
238	-0.632522550921549	4.07591561646319
239	-0.653889919520176	4.09588217899801
240	-0.678123448997811	4.11395677939636
241	-0.703827479020923	4.13169789624891
242	-0.72960634925598	4.15066400814631
243	-0.754087920487904	4.17238669454488
244	-0.776814436981449	4.19735183105305
245	-0.798515959483215	4.22468688699455
246	-0.820001932514577	4.25342854711469
247	-0.842081800596912	4.28261349615877
248	-0.865565008251594	4.31127841887211
249	-0.891261	4.33846
250	-0.919702512638132	4.36352207816901
251	-0.9503154520605	4.38713710753073
252	-0.982249016436242	4.41030469611802
253	-1.01465240393449	4.43402445196372
254	-1.04667481272439	4.4592959831007
255	-1.07746544097508	4.4871188975618
256	-1.10630058494813	4.51826900895161
257	-1.13314398641752	4.55231167623729
